part_name,type,x_extent,y_extent,start_pad,end_pad,color,hatch,arrowhead_height,arrowhead_length,linestyle,linewidth
P1,Promoter,,,,,,,,,,
P2,Promoter,,,,,,,,,,
R1,RBS,,,,,,,,,,
R2,RBS,,,,,,,,,,
C1,CDS,,,,,,,,,,
C2,CDS,,,,,,,,,,
T1,Terminator,,,,,,,,,,
T2,Terminator,,,,,,,,,,
Z1,Ribozyme,,,,,,,,,,
Sc1,Scar,,,,,,,,,,
Sp1,Spacer,,,,,,,,,,
Rb1,Ribonuclease,,,,,,,,,,
Ps1,ProteinStability,,,,,,,,,,
Pe1,Protease,,,,,,,,,,
Op1,Operator,,,,,,,,,,
Ori1,Origin,,,,,,,,,,
Ins1,Insulator,,,,,,,,,,
5OH,5Overhang,,,,,,,,,,
3OH,3Overhang,,,,,,,,,,
RS,RestrictionSite,,,,,,,,,,
BRS,BluntRestrictionSite,,,,,,,,,,
PBS,PrimerBindingSite,,,,,,,,,,
5SRS,5StickyRestrictionSite,,,,,,,,,,
3SRS,3StickyRestrictionSite,,,,,,,,,,
UD,UserDefined,,,,,,,,,,
Sig,Signature,,,,,,,,,,
Rep,Repressor,,,,,,,,,,
ES,EmptySpace,,,,,,,,,,
