part_name,type,x_extent,y_extent,start_pad,end_pad,color,hatch,arrowhead_height,arrowhead_length,linestyle,linewidth,label,label_style,label_size,label_y_offset,label_x_offset,label_color
P1,Promoter,,,,,,,,,,,,,,,,
P2,Promoter,,,,,,,,,,,,,,,,
R1,RBS,,,,,,,,,,,,,,,,
R2,RBS,,,,,,,,,,,,,,,,
C1,CDS,,,,,,,,,,,,,,,,
C2,CDS,,,,,,,,,,,,,,,,
T1,Terminator,,,,,,,,,,,,,,,,
T2,Terminator,,,,,,,,,,,,,,,,
Z1,Ribozyme,,,,,,,,,,,,,,,,
Sc1,Scar,,,,,,,,,,,,,,,,
Sp1,Spacer,,,,,,,,,,,,,,,,
Rb1,Ribonuclease,,,,,,,,,,,,,,,,
Ps1,ProteinStability,,,,,,,,,,,,,,,,
Pe1,Protease,,,,,,,,,,,,,,,,
Op1,Operator,,,,,,,,,,,,,,,,
Ori1,Origin,,,,,,,,,,,,,,,,
Ins1,Insulator,,,,,,,,,,,,,,,,
5OH,5Overhang,,,,,,,,,,,,,,,,
3OH,3Overhang,,,,,,,,,,,,,,,,
RS,RestrictionSite,,,,,,,,,,,,,,,,
BRS,BluntRestrictionSite,,,,,,,,,,,,,,,,
PBS,PrimerBindingSite,,,,,,,,,,,,,,,,
5SRS,5StickyRestrictionSite,,,,,,,,,,,,,,,,
3SRS,3StickyRestrictionSite,,,,,,,,,,,,,,,,
UD,UserDefined,,,,,,,,,,,,,,,,
Sig,Signature,,,,,,,,,,,,,,,,
Rep,Repressor,,,,,,,,,,,,,,,,
ES,EmptySpace,,,,,,,,,,,,,,,,
P1.1,Promoter,7,7,,,1;0.7;0.7,,,1.5,,,pA,,8,-6,-3,
P1.2,Promoter,9,9,,,1;0.5;0.5,,,,,,pB,,8,-6,-3,
P1.3,Promoter,12,12,,,1;0;0,,,8,,,pC,,8,-6,-3,
R1.1,RBS,6,,-2,,0.9;0.9;0.9,,,,,,,,,,,
R1.2,RBS,9,,-2,,0.6;0.6;0.6,,,,,,,,,,,
R1.3,RBS,12,,-2,,0.3;0.3;0.3,,,,,,,,,,,
C1.1,CDS,45,9,,,0.38;0.82;0.32,,0,15,,,Gene A,italic,8,-0.5,-5,
C1.2,CDS,40,11,,,0.95;0.30;0.25,,,5,,,Gene B,italic,8,-0.5,-2,
C1.3,CDS,60,6,,,0.38;0.65;0.87,,,,,,Gene C,italic,8,-0.5,-2,
T1.1,Terminator,6,5,,,0.4;0.4;0.4,,,,,,,,,,,
T1.2,Terminator,10,5,,,0.2;0.2;0.2,,,,,,,,,,,
T1.3,Terminator,4,,,,0;0;0,,,,,,,,,,,
Sp1.1,Spacer,,,,,,,,,,,,,,,,
Sp1.2,Spacer,10,,,,,,,,,,,,,,,
Sp1.3,Spacer,,,,,,,,,,,,,,,,
Gp1,EmptySpace,2,,,,,,,,,,,,,,,
