part_name,type,x_extent,y_extent,start_pad,end_pad,color,hatch,arrowhead_height,arrowhead_length,linestyle,linewidth,label,label_style,label_size,label_y_offset,label_x_offset
C_AmtR,CDS,34,,,-0.5,1.0;0.75;0.17,,,,,1,AmtR,italic,7.3,-0.5,-0.8
C_LitR,CDS,34,,,-0.5,0.38;0.82;0.32,,,,,1,LitR,italic,7.3,-0.5,-1
C_BM3R1,CDS,34,,,-0.5,0.95;0.30;0.25,,,,,1,BM3R1,italic,7.3,-0.5,-1.1
C_SrpR,CDS,34,,,-0.5,0.38;0.65;0.87,,,,,1,SrpR,italic,7.3,-0.5,-1
C_PhlF,CDS,34,,,-0.5,0.55;0.35;0.64,,,,,1,PhlF,italic,7.3,-0.5,-1.1
C_YFP,CDS,34,,,-0.5,0.98;0.97;0.35,,,,,1,YFP,italic,7.3,-0.5,-2
P_Tac,Promoter,9,9,,,,,,,,,,,,-9,
P_Tet,Promoter,9,9,,,,,,,,,,,,-9,
P_BAD,Promoter,9,9,,,,,,,,,,,,-9,
P_BM3R1,Promoter,9,9,,,0.95;0.30;0.25,,,,,,,,,,
P_AmtR,Promoter,9,9,,,1.0;0.75;0.17,,,,,,,,,,
P_LitR,Promoter,9,9,,,0.38;0.82;0.32,,,,,,,,,,
P_SrpR,Promoter,9,9,,,0.38;0.65;0.87,,,,,,,,,,
P_PhlF,Promoter,9,9,,,0.55;0.35;0.64,,,,,,,,,,
Z_Rib,Ribozyme,,9,2,-2,,,,,,1,,,,,
T_Ter,Terminator,9,9,2,2,,,,,,,,,,,
R_RBS,RBS,6,,,,0;0;0,,,,,1,,,,,
R_AmtR,RBS,6,,,,0;0;0,,,,,1,,,,,
R_LitR,RBS,6,,,,0;0;0,,,,,1,,,,,
R_BM3R1,RBS,6,,,,0;0;0,,,,,1,,,,,
R_SrpR,RBS,6,,,,0;0;0,,,,,1,,,,,
R_PhlF,RBS,6,,,,0;0;0,,,,,1,,,,,
R_YFP,RBS,6,,,,0;0;0,,,,,1,,,,,
O_p15A,Origin,25,25,,,,,,,,,p15A,,,,
P_Std,Promoter,9,9,,,,,,,,,,,,,
T_Std,Terminator,9,9,2,2,,,,,,,,,,,
C_KanR,CDS,34,,,-0.5,0.8;0.8;0.8,,,,,1,KanR,italic,7.3,-0.5,-0.8
C_TetR,CDS,34,,,-0.5,0.8;0.8;0.8,,,,,1,TetR,italic,7.3,-0.5,-0.8
C_LacI,CDS,34,,,-0.5,0.8;0.8;0.8,,,,,1,LacI,italic,7.3,-0.5,-0.8
C_AraC,CDS,34,,,-0.5,0.8;0.8;0.8,,,,,1,AraC,italic,7.3,-0.5,-0.8
R_Std,RBS,6,,,,0;0;0,,,,,1,,,,,
ES_Short,EmptySpace,5,,,,,,,,,,,,,,
ES_Long,EmptySpace,15,,,,,,,,,,,,,,
T_DblTer1,Terminator,9,9,2,-3,,,,,,,,,,,
T_DblTer2,Terminator,9,9,-3,2,,,,,,,,,,,
