part_name,type,x_extent,y_extent,start_pad,end_pad,color,hatch,arrowhead_height,arrowhead_length,linestyle,linewidth
RiboJ10,Ribozyme,,,,,0.12;0.47;0.71,,,,,
HlyIIR(js),CDS,,,,,0.42;0.24;0.60,,,,,
js_qacr,RBS,,,,,0.98;0.60;0.60,,,,,
QacR,CDS,,,,,0.98;0.60;0.60,,,,,
L3S2P11,Terminator,,,,,0.20;0.63;0.17,,,,,
PlmJ,Ribozyme,,,,,0.99;0.75;0.44,,,,,
input_pTac,Promoter,,,,,0.00;0.00;0.00,,,,,
SrpR,CDS,,,,,0.12;0.47;0.71,,,,,
pQacR,Promoter,,,,,0.98;0.60;0.60,,,,,
LitR,CDS,,,,,0.99;0.75;0.44,,,,,
pSrpR,Promoter,,,,,0.12;0.47;0.71,,,,,
RiboJ53,Ribozyme,,,,,0.89;0.10;0.11,,,,,
BM3R1,CDS,,,,,0.20;0.63;0.17,,,,,
RiboJ51,Ribozyme,,,,,0.42;0.24;0.60,,,,,
pLitR,Promoter,,,,,0.99;0.75;0.44,,,,,
pBM3R1,Promoter,,,,,0.20;0.63;0.17,,,,,
js2_bm3r1,RBS,,,,,0.20;0.63;0.17,,,,,
js2_hlyiir,RBS,,,,,0.42;0.24;0.60,,,,,
ECK120010818,Terminator,,,,,0.98;0.60;0.60,,,,,
an1_phlf,RBS,,,,,0.89;0.10;0.11,,,,,
output_YFP,CDS,,,,,0.00;0.00;0.00,,,,,
an2_litr,RBS,,,,,0.99;0.75;0.44,,,,,
L3S2P24,Terminator,,,,,0.99;0.75;0.44,,,,,
input_pTet,Promoter,,,,,0.00;0.00;0.00,,,,,
SarJ,Ribozyme,,,,,0.20;0.63;0.17,,,,,
pHlyIIR,Promoter,,,,,0.42;0.24;0.60,,,,,
pPhlF,Promoter,,,,,0.89;0.10;0.11,,,,,
PhlF,CDS,,,,,0.89;0.10;0.11,,,,,
ECK120029600,Terminator,,,,,0.12;0.47;0.71,,,,,
input_pBAD,Promoter,,,,,0.00;0.00;0.00,,,,,
ECK120033736,Terminator,,,,,0.42;0.24;0.60,,,,,
ECK120033737,Terminator,,,,,0.89;0.10;0.11,,,,,
RiboJ60,Ribozyme,,,,,0.98;0.60;0.60,,,,,
an3_srpr,RBS,,,,,0.12;0.47;0.71,,,,,
