part_name,type,x_extent,y_extent,start_pad,end_pad,color,hatch,arrowhead_height,arrowhead_length,linestyle,linewidth
pTac,Promoter,,,,,0;0;0,,,,,
pTet,Promoter,,,,,0;0;0,,,,,
RiboJ,Ribozyme,,,,,0;1;1,,,,,
R1,RBS,,,,,0;0;0,,,,,
t1,Terminator,,,,,0;0;0,,,,,
scar1,Scar,,,,,0;0;0,,,,,
spacer1,Spacer,,,,,0;0;0,,,,,
testA,Ribonuclease,,,,,0;1;1,,,,,
testB,Protease,,,,,0;1;1,,,,,
testC,ProteinStability,,,,,0;1;1,,,,,
op,Operator,,,,,1;0;0,,,,,
or,Origin,,,,,1;0;0,,,,,
ins,Insulator,,,10,,1;0;0,,,,,
protein,Repressor,10,10,,,1;0;0,,,,,
pPhlF,Promoter,,,,,1;0;0,,,,,
NOR_rbs1-PhlF,CDS,,,,,1;0;0,//,,,,
SrpR,CDS,,,,,1;0.5;0,///,,,,
pSrpR,Promoter,,,,,1;0.5;0,,,,,
pAmtR,Promoter,,,,,0;0;1,////,,,,
AmtR,CDS,,,,,0;0;1,,,,,
YFP,CDS,,,,,1;1;0,,,,,
