part_name,type,x_extent,y_extent,start_pad,end_pad,color,hatch,arrowhead_height,arrowhead_length,linestyle,linewidth
S0,Spacer,,,,,,,,,,
S1,Spacer,,,,,,,,,,
S2,Spacer,,,,,,,,,,
S3,Spacer,,,,,,,,,,
S10,Spacer,,,,,,,,,,
S11,Spacer,,,,,,,,,,
S13,Spacer,,,,,,,,,,
P1,Promoter,,,,,0.38;0.65;0.87,,,,,
P2,Promoter,,,,,0.95;0.30;0.25,,,,,
P3,Promoter,,,,,0.38;0.82;0.32,,,,,
Ru1,RBS,7,4,,,0.3;0.3;0.3,,,,,
Ru2,RBS,7,4,,,0.8;0.8;0.8,,,,,
Rs1,RBS,7,4,,,0.3;0.3;0.3,,,,,
Rs2,RBS,7,4,,,0.8;0.8;0.8,,,,,
Rv1,RBS,7,4,,,0.3;0.3;0.3,,,,,
Rv2,RBS,7,4,,,0.8;0.8;0.8,,,,,
Rw1,RBS,7,4,,,0.3;0.3;0.3,,,,,
Rw2,RBS,7,4,,,0.8;0.8;0.8,,,,,
Rz1,RBS,7,4,,,0.3;0.3;0.3,,,,,
Rz2,RBS,7,4,,,0.8;0.8;0.8,,,,,
Rm1,RBS,7,4,,,0.3;0.3;0.3,,,,,
Rm2,RBS,7,4,,,0.8;0.8;0.8,,,,,
nifU,CDS,,4,,,0.76;0.47;0.76,,,,,
nifS,CDS,,4,,,0.37;0.78;0.78,,,,,
nifV,CDS,,4,,,0.78;0.78;0.49,,,,,
nifW,CDS,,4,,,0.94;0.74;0.4,,,,,
nifZ,CDS,,4,,,0.91;0.6;0.58,,,,,
nifM,CDS,,4,,,0.5;0.77;0.56,,,,,
T1,Terminator,,,,,,,,,,
scarA,Scar,2,,5,,,,,,,
scarC,Scar,2,,5,,,,,,,
scarD,Scar,2,,5,,,,,,,
scarF,Scar,2,,5,,,,,,,
vFull,Vector,,,,,,,,,,
vRight,Vector,,,,,,,,,,
vLeft,Vector,,,,,,,,,,
