design_name,parts,,,
Promoter Cxt 1: P-CDS,P1,R1,C1,
Promoter Cxt 2: T-P-CDS,T1,P1,R1,C1
Promoter Cxt 3: CDS-P-CDS,C2,P1,R1,C1
Promoter Cxt 4: P-P,P1,P2,,
Promoter Cxt 5: P-P-P,P3,P1,P2,
Promoter Cxt 6: CDS-P-P,C2,P1,P2,
Promoter Cxt 7: T-P-P,T1,P1,P2,
Promoter Cxt 8: P-P-CDS,P2,P1,R1,C1
Promoter Cxt 9: rP-P-CDS,rP2,P1,R1,C1
Terminator Cxt 1: T-P,T2,P2,,
Terminator Cxt 2: CDS-T-P,C1,T2,P2,
Terminator Cxt 3: CDS-T-T,C1,T2,T3,
Terminator Cxt 4: CDS-T-rT,C1,T2,rT1,
Terminator Cxt 5: CDS-T-CDS,C1,T2,R2,C1
Terminator Cxt 6: CDS-T-rCDS,C1,T2,rC1,
Terminator Cxt 7: CDS-T,C1,T2,,
Terminator Cxt 8: T-T-P,T3,T2,P2,
Terminator Cxt 9: CDS-T-rP,C1,T2,rP2,
