part_name,type,x_extent,y_extent,start_pad,end_pad,color,hatch,arrowhead_height,arrowhead_length,linestyle,linewidth
S0,Spacer,5,5,,,0.38;0.65;0.87,,,,,0.5
S1,Spacer,5,5,,,0.38;0.65;0.87,,,,,0.5
S2,Spacer,5,5,,,0.38;0.65;0.87,,,,,0.5
S3,Spacer,5,5,,,0.38;0.65;0.87,,,,,0.5
S10,Spacer,5,5,,,0.38;0.65;0.87,,,,,0.5
S11,Spacer,5,5,,,0.38;0.65;0.87,,,,,0.5
S13,Spacer,5,5,,,0.38;0.65;0.87,,,,,0.5
P1,Promoter,,,,-9,0.8;0.8;0.8,,,,,
P2,Promoter,,,,-9,0.5;0.5;0.5,,,,,
P3,Promoter,,,,-9,0;0;0,,,,,
Ru1,RBS,,,-1,,0;0;0,,,,,0
Ru2,RBS,,,-1,,0.6;0.6;0.6,,,,,0
Rs1,RBS,,,-1,,0;0;0,,,,,0
Rs2,RBS,,,-1,,0.6;0.6;0.6,,,,,0
Rv1,RBS,,,-1,,0;0;0,,,,,0
Rv2,RBS,,,-1,,0.6;0.6;0.6,,,,,0
Rw1,RBS,,,-1,,0;0;0,,,,,0
Rw2,RBS,,,-1,,0.6;0.6;0.6,,,,,0
Rz1,RBS,,,-1,,0;0;0,,,,,0
Rz2,RBS,,,-1,,0.6;0.6;0.6,,,,,0
Rm1,RBS,,,-1,,0;0;0,,,,,0
Rm2,RBS,,,-1,,0.6;0.6;0.6,,,,,0
nifU,CDS,13,,,,0.38;0.82;0.32,/////////,0,5,,1
nifS,CDS,20,,,,1.00;0.75;0.17,/////////,0,5,,1
nifV,CDS,25,,,,0.95;0.30;0.25,/////////,0,5,,1
nifW,CDS,11,,,,0.55;0.35;0.64,/////////,0,5,,1
nifZ,CDS,13,,,,0.38;0.65;0.87,/////////,0,5,,1
nifM,CDS,13,,,,0.6;0.6;0.6,/////////,0,5,,1
T1,Terminator,,,-2,,,,,,,
scarA,Scar,2,1.5,1,1,0.95;0.30;0.25,,,,,
scarC,Scar,2,1.5,1,1,0.95;0.30;0.25,,,,,
scarD,Scar,2,1.5,1,1,0.95;0.30;0.25,,,,,
scarF,Scar,2,1.5,1,1,0.95;0.30;0.25,,,,,
vFull,Vector,,,,,,,,,,
vRight,Vector,,,,,,,,,,
vLeft,Vector,,,,,,,,,,
