Variant,Activity,Activity_SD
1,857282,48750
2,88925,1358
3,59905,25802
4,42223,3771
5,117032,6521
6,458138,43208
7,466346,19954
8,238200,41865
9,410263,18821
10,683469,47135
11,449200,30746
12,89275,7377
13,25303,4083
14,40505,6029
15,394289,33196
16,429797,55490
17,31645,19983
18,28596,9269
19,251295,21286
20,93153,7989
21,30984,9392
22,19149,4260
23,122754,5618
24,301169,13256
25,164165,7487
26,44850,6120
27,67497,23267
28,283833,24477
29,67789,22484
30,971859,90747
31,19567,4255
32,204091,17523
33,20673,15564
34,42955,5500
35,87069,9406
36,195929,4660
37,430614,19715
38,54911,10322
39,16514,12809
40,67027,4192
41,709879,30035
42,239152,16126
43,21047,2238
44,375609,26786
45,32182,4587
46,6124,992
47,3835,1490
48,63959,2471
49,663719,110863
50,64982,5810
51,121461,6735
52,47245,7613
53,30200,7844
54,497820,54778
55,33907,6943
56,368070,15003
57,5334,961
58,30212,8342
59,90512,4452
60,46983,4184
61,773409,54518
62,51206,6595
63,6960,2473
64,408479,11449
65,404750,22829
66,458747,52608
67,29307,6755
68,758337,45485
69,1979,851
70,52594,7540
71,395659,14192
72,128104,7184
73,249679,7212
74,99242,22012
75,201427,5453
76,107,38
77,377976,50290
78,243700,8663
79,32223,6495
80,151315,20165
81,25238,5858
82,296751,10806
83,240396,18894
84,289924,23814
85,139846,9337
86,69330,171
87,595713,43120
88,466867,12664
89,462370,17945
90,84259,4053
91,80518,2088
92,229045,7406
93,182488,3796
94,176885,20709
95,207982,4313
96,62608,968
97,30582,1775
98,17940,878
100,623565,34078
101,45743,12280
102,223243,19504
103,50432,11091
104,132000,16770
105,43,16
106,60,42
