design_name,parts,
Design A000P000: 1414088611009_A000P000,input_pTet,RiboJ51,js2_hlyiir,HlyIIR(js),ECK120033736,input_pBAD,RiboJ10,an3_srpr,SrpR,ECK120029600,input_pTac,SarJ,js2_bm3r1,BM3R1,L3S2P11,pSrpR,pHlyIIR,RiboJ60,js_qacr,QacR,ECK120010818,pQacR,PlmJ,an2_litr,LitR,L3S2P24,pBM3R1,pLitR,RiboJ53,an1_phlf,PhlF,ECK120033737,pPhlF,output_YFP
Design A000P001: 1414088611009_A000P001,rECK120010818,rQacR,rjs_qacr,rRiboJ60,rpHlyIIR,rpSrpR,rECK120029600,rSrpR,ran3_srpr,rRiboJ10,rinput_pBAD,rL3S2P24,rLitR,ran2_litr,rPlmJ,rpQacR,pBM3R1,pLitR,RiboJ53,an1_phlf,PhlF,ECK120033737,rECK120033736,rHlyIIR(js),rjs2_hlyiir,rRiboJ51,rinput_pTet,input_pTac,SarJ,js2_bm3r1,BM3R1,L3S2P11,pPhlF,output_YFP
Design A000P002: 1414088611009_A000P002,rECK120033737,rPhlF,ran1_phlf,rRiboJ53,rpLitR,rpBM3R1,input_pBAD,RiboJ10,an3_srpr,SrpR,ECK120029600,rL3S2P24,rLitR,ran2_litr,rPlmJ,rpQacR,rECK120010818,rQacR,rjs_qacr,rRiboJ60,rpHlyIIR,rpSrpR,rECK120033736,rHlyIIR(js),rjs2_hlyiir,rRiboJ51,rinput_pTet,rL3S2P11,rBM3R1,rjs2_bm3r1,rSarJ,rinput_pTac,pPhlF,output_YFP
Design A000P003: 1414088611009_A000P003,input_pBAD,RiboJ10,an3_srpr,SrpR,ECK120029600,rECK120033736,rHlyIIR(js),rjs2_hlyiir,rRiboJ51,rinput_pTet,rECK120010818,rQacR,rjs_qacr,rRiboJ60,rpHlyIIR,rpSrpR,pQacR,PlmJ,an2_litr,LitR,L3S2P24,pBM3R1,pLitR,RiboJ53,an1_phlf,PhlF,ECK120033737,rL3S2P11,rBM3R1,rjs2_bm3r1,rSarJ,rinput_pTac,pPhlF,output_YFP
Design A000P004: 1414088611009_A000P004,rECK120033737,rPhlF,ran1_phlf,rRiboJ53,rpLitR,rpBM3R1,input_pTet,RiboJ51,js2_hlyiir,HlyIIR(js),ECK120033736,rL3S2P24,rLitR,ran2_litr,rPlmJ,rpQacR,rECK120029600,rSrpR,ran3_srpr,rRiboJ10,rinput_pBAD,rL3S2P11,rBM3R1,rjs2_bm3r1,rSarJ,rinput_pTac,rECK120010818,rQacR,rjs_qacr,rRiboJ60,rpHlyIIR,rpSrpR,pPhlF,output_YFP
Design A000P005: 1414088611009_A000P005,input_pTet,RiboJ51,js2_hlyiir,HlyIIR(js),ECK120033736,input_pBAD,RiboJ10,an3_srpr,SrpR,ECK120029600,rL3S2P11,rBM3R1,rjs2_bm3r1,rSarJ,rinput_pTac,rECK120033737,rPhlF,ran1_phlf,rRiboJ53,rpLitR,rpBM3R1,rL3S2P24,rLitR,ran2_litr,rPlmJ,rpQacR,pSrpR,pHlyIIR,RiboJ60,js_qacr,QacR,ECK120010818,pPhlF,output_YFP
Design A000P006: 1414088611009_A000P006,rECK120029600,rSrpR,ran3_srpr,rRiboJ10,rinput_pBAD,rECK120033736,rHlyIIR(js),rjs2_hlyiir,rRiboJ51,rinput_pTet,pSrpR,pHlyIIR,RiboJ60,js_qacr,QacR,ECK120010818,rECK120033737,rPhlF,ran1_phlf,rRiboJ53,rpLitR,rpBM3R1,rL3S2P24,rLitR,ran2_litr,rPlmJ,rpQacR,input_pTac,SarJ,js2_bm3r1,BM3R1,L3S2P11,pPhlF,output_YFP
Design A000P007: 1414088611009_A000P007,rECK120033736,rHlyIIR(js),rjs2_hlyiir,rRiboJ51,rinput_pTet,pQacR,PlmJ,an2_litr,LitR,L3S2P24,input_pBAD,RiboJ10,an3_srpr,SrpR,ECK120029600,input_pTac,SarJ,js2_bm3r1,BM3R1,L3S2P11,rECK120010818,rQacR,rjs_qacr,rRiboJ60,rpHlyIIR,rpSrpR,pBM3R1,pLitR,RiboJ53,an1_phlf,PhlF,ECK120033737,pPhlF,output_YFP
Design A000P008: 1414088611009_A000P008,rECK120029600,rSrpR,ran3_srpr,rRiboJ10,rinput_pBAD,rL3S2P11,rBM3R1,rjs2_bm3r1,rSarJ,rinput_pTac,pQacR,PlmJ,an2_litr,LitR,L3S2P24,pBM3R1,pLitR,RiboJ53,an1_phlf,PhlF,ECK120033737,rECK120010818,rQacR,rjs_qacr,rRiboJ60,rpHlyIIR,rpSrpR,input_pTet,RiboJ51,js2_hlyiir,HlyIIR(js),ECK120033736,pPhlF,output_YFP
Design A000P009: 1414088611009_A000P009,rECK120010818,rQacR,rjs_qacr,rRiboJ60,rpHlyIIR,rpSrpR,input_pTac,SarJ,js2_bm3r1,BM3R1,L3S2P11,rECK120029600,rSrpR,ran3_srpr,rRiboJ10,rinput_pBAD,rECK120033736,rHlyIIR(js),rjs2_hlyiir,rRiboJ51,rinput_pTet,rL3S2P24,rLitR,ran2_litr,rPlmJ,rpQacR,pBM3R1,pLitR,RiboJ53,an1_phlf,PhlF,ECK120033737,pPhlF,output_YFP
