part_name,type,x_extent,y_extent,start_pad,end_pad,color,hatch,arrowhead_height,arrowhead_length,linestyle,linewidth
js_qacr,RBS,,,,,0.98;0.60;0.60,,,,,
RiboJ10,Ribozyme,,,,,0.12;0.47;0.71,,,,,
an0_bm3r1,RBS,,,,,0.20;0.63;0.17,,,,,
QacR_ON,CDS,,,,,0.98;0.60;0.60,,,,,
QacR_OFF,CDS,,,,,0.98;0.60;0.60,////,,,,
an0_phlf,RBS,,,,,0.89;0.10;0.11,,,,,
L3S2P11,Terminator,,,,,0.20;0.63;0.17,,,,,
PlmJ,Ribozyme,,,,,0.99;0.75;0.44,,,,,
input_pTac,Promoter,,,,,0.00;0.00;0.00,,,,,
pQacR,Promoter,,,,,0.98;0.60;0.60,,,,,
SrpR_ON,CDS,,,,,0.12;0.47;0.71,,,,,
SrpR_OFF,CDS,,,,,0.12;0.47;0.71,////,,,,
L3S2P55,Terminator,,,,,1.00;0.50;0.00,,,,,
BydvJ,Ribozyme,,,,,1.00;0.50;0.00,,,,,
LitR_ON,CDS,,,,,0.99;0.75;0.44,,,,,
LitR_OFF,CDS,,,,,0.99;0.75;0.44,////,,,,
AmtR_ON,CDS,,,,,1.00;0.50;0.00,,,,,
AmtR_OFF,CDS,,,,,1.00;0.50;0.00,////,,,,
pSrpR,Promoter,,,,,0.12;0.47;0.71,,,,,
RiboJ53,Ribozyme,,,,,0.89;0.10;0.11,,,,,
BM3R1_ON,CDS,,,,,0.20;0.63;0.17,,,,,
BM3R1_OFF,CDS,,,,,0.20;0.63;0.17,////,,,,
pBM3R1,Promoter,,,,,0.20;0.63;0.17,,,,,
pLitR,Promoter,,,,,0.99;0.75;0.44,,,,,
ECK120010818,Terminator,,,,,0.98;0.60;0.60,,,,,
output_YFP_ON,CDS,,,,,1.00;1.00;1.00,,,,,
output_YFP_OFF,CDS,,,,,1.00;1.00;1.00,////,,,,
an2_litr,RBS,,,,,0.99;0.75;0.44,,,,,
pAmtR(js),Promoter,,,,,1.00;0.50;0.00,,,,,
L3S2P24,Terminator,,,,,0.99;0.75;0.44,,,,,
input_pTet,Promoter,,,,,0.00;0.00;0.00,,,,,
SarJ,Ribozyme,,,,,0.20;0.63;0.17,,,,,
pPhlF,Promoter,,,,,0.89;0.10;0.11,,,,,
js2_amtr,RBS,,,,,1.00;0.50;0.00,,,,,
PhlF_ON,CDS,,,,,0.89;0.10;0.11,,,,,
PhlF_OFF,CDS,,,,,0.89;0.10;0.11,////,,,,
ECK120029600,Terminator,,,,,0.12;0.47;0.71,,,,,
input_pBAD,Promoter,,,,,0.00;0.00;0.00,,,,,
RiboJ60,Ribozyme,,,,,0.98;0.60;0.60,,,,,
ECK120033737,Terminator,,,,,0.89;0.10;0.11,,,,,
an3_srpr,RBS,,,,,0.12;0.47;0.71,,,,,
