Variant,Parts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 01,vLeft,P2,S2,Ru1,nifU,S10,scarC,S0,Rs1,nifS,S10,scarD,S0,Rv1,nifV,S10,scarF,S0,Rw2,nifW,S10,scarD,S0,Rz2,nifZ,S10,scarA,S0,Rm1,nifM,T1,S11,vRight,,,,,,,,,,,,,
Variant 02,vLeft,P2,S2,Ru1,nifU,S10,scarC,S0,Rs1,nifS,S10,scarD,S0,Rv1,nifV,S10,scarF,S0,Rw2,nifW,S10,scarD,S0,Rz2,nifZ,T1,P1,S13,scarA,P3,S3,Rm2,nifM,T1,S11,vRight,,,,,,,,,,
Variant 03,vLeft,P2,S2,Ru1,nifU,S10,scarC,P3,S3,Rs2,nifS,S10,scarD,P2,S2,Rv2,nifV,T1,P1,S13,scarF,S0,Rw2,nifW,S10,scarD,S0,Rz2,nifZ,T1,P1,S13,scarA,P3,S3,Rm2,nifM,T1,S11,vRight,,,,,,
Variant 04,vLeft,P2,S2,Ru1,nifU,S10,scarC,P3,S3,Rs2,nifS,S10,scarD,P2,S2,Rv2,nifV,T1,P1,S13,scarF,rS10,rnifW,rRw1,rS2,rP2,scarD,rS13,rP1,rT1,rnifZ,rRz1,rS1,rP1,scarA,rS10,rnifM,rRm2,rS3,rP3,vRight,,,,,
Variant 05,vLeft,P1,S1,Ru1,nifU,T1,P1,S13,scarC,P3,S3,Rv1,nifV,S10,scarD,S0,Rs1,nifS,T1,P1,S13,scarF,rS10,rnifW,rRw1,rS2,rP2,scarD,rS13,rP1,rT1,rnifZ,rRz1,rS1,rP1,scarA,rS10,rnifM,rRm2,rS3,rP3,vRight,,,,
Variant 06,vLeft,P1,S1,Ru1,nifU,T1,P1,S13,scarC,P3,S3,Rv1,nifV,S10,scarD,S0,Rs1,nifS,T1,P1,S13,scarF,rS10,rnifW,rRw1,rS2,rP2,scarD,rS10,rnifM,rRm1,rS0,scarA,rS10,rnifZ,rRz1,rS2,rP2,vRight,,,,,,,
Variant 07,vLeft,P1,S1,Ru1,nifU,T1,P1,S13,scarC,S0,Rs1,nifS,S10,scarD,rS11,rT1,rnifV,rRv2,rS1,rP1,scarF,rS10,rnifW,rRw1,rS2,rP2,scarD,rS10,rnifM,rRm1,rS0,scarA,rS10,rnifZ,rRz1,rS2,rP2,vRight,,,,,,,,
Variant 08,vLeft,P1,S1,Ru1,nifU,T1,P1,S13,scarC,S0,Rs1,nifS,S10,scarD,rS11,rT1,rnifV,rRv2,rS1,rP1,scarF,P3,S3,Rw1,nifW,S10,scarD,P1,S1,Rm1,nifM,T1,P1,S13,scarA,P1,S1,Rz1,nifZ,T1,S11,vRight,,,,
Variant 09,vLeft,rS11,rT1,rnifU,rRu2,rS0,scarC,rS11,rT1,rnifS,rRs1,rS1,rP1,scarD,P2,S2,Rv2,nifV,T1,P1,S13,scarF,P3,S3,Rw1,nifW,S10,scarD,P1,S1,Rm1,nifM,T1,P1,S13,scarA,P1,S1,Rz1,nifZ,T1,S11,vRight,,,
Variant 10,vLeft,rS11,rT1,rnifU,rRu2,rS0,scarC,rS11,rT1,rnifS,rRs1,rS1,rP1,scarD,P2,S2,Rv2,nifV,T1,P1,S13,scarF,P3,S3,Rw1,nifW,S10,scarD,S0,Rz2,nifZ,S10,scarA,S0,Rm1,nifM,T1,S11,vRight,,,,,,,
Variant 11,vLeft,rS11,rT1,rnifU,rRu2,rS0,scarC,rS13,rP1,rT1,rnifV,rRv1,rS0,scarD,rS10,rnifS,rRs1,rS1,rP1,scarF,P3,S3,Rw1,nifW,S10,scarD,S0,Rz2,nifZ,S10,scarA,S0,Rm1,nifM,T1,S11,vRight,,,,,,,,,
Variant 12,vLeft,rS11,rT1,rnifU,rRu2,rS0,scarC,rS13,rP1,rT1,rnifV,rRv1,rS0,scarD,rS10,rnifS,rRs1,rS1,rP1,scarF,P2,S2,Rz1,nifZ,T1,P1,S13,scarD,P3,S3,Rw1,nifW,T1,S11,scarA,rS10,rnifM,rRm2,rS3,rP3,vRight,,,,,
Variant 13,vLeft,P3,S3,Rs2,nifS,T1,P1,S13,scarC,P1,S1,Ru1,nifU,T1,S11,scarD,rS11,rT1,rnifV,rRv2,rS1,rP1,scarF,P2,S2,Rz1,nifZ,T1,P1,S13,scarD,P3,S3,Rw1,nifW,T1,S11,scarA,rS10,rnifM,rRm2,rS3,rP3,vRight,,
Variant 14,vLeft,P3,S3,Rs2,nifS,T1,P1,S13,scarC,P1,S1,Ru1,nifU,T1,S11,scarD,rS11,rT1,rnifV,rRv2,rS1,rP1,scarF,P2,S2,Rz1,nifZ,T1,P1,S13,scarD,P1,S1,Rm1,nifM,T1,P1,S13,scarA,P1,S1,Rw2,nifW,T1,S11,vRight
Variant 15,vLeft,rS11,rT1,rnifS,rRs2,rS2,rP2,scarC,P3,S3,Ru2,nifU,S10,scarD,S0,Rv1,nifV,S10,scarF,P2,S2,Rz1,nifZ,T1,P1,S13,scarD,P1,S1,Rm1,nifM,T1,P1,S13,scarA,P1,S1,Rw2,nifW,T1,S11,vRight,,,,
Variant 16,vLeft,rS11,rT1,rnifS,rRs2,rS2,rP2,scarC,P3,S3,Ru2,nifU,S10,scarD,S0,Rv1,nifV,S10,scarF,rS10,rnifZ,rRz2,rS3,rP3,scarD,rS10,rnifM,rRm1,rS0,scarA,rS13,rP1,rT1,rnifW,rRw1,rS2,rP2,vRight,,,,,,,,
Variant 17,vLeft,rS11,rT1,rnifS,rRs2,rS2,rP2,scarC,rS13,rP1,rT1,rnifV,rRv1,rS0,scarD,rS13,rP1,rT1,rnifU,rRu2,rS0,scarF,rS10,rnifZ,rRz2,rS3,rP3,scarD,rS10,rnifM,rRm1,rS0,scarA,rS13,rP1,rT1,rnifW,rRw1,rS2,rP2,vRight,,,,,
Variant 18,vLeft,rS11,rT1,rnifS,rRs2,rS2,rP2,scarC,rS13,rP1,rT1,rnifV,rRv1,rS0,scarD,rS13,rP1,rT1,rnifU,rRu2,rS0,scarF,rS11,rT1,rnifM,rRm1,rS1,rP1,scarD,P3,S3,Rw1,nifW,T1,S11,scarA,P1,S1,Rz1,nifZ,T1,S11,vRight,,,
Variant 19,vLeft,rS11,rT1,rnifV,rRv2,rS2,rP2,scarC,rS11,rT1,rnifS,rRs1,rS1,rP1,scarD,rS13,rP1,rT1,rnifU,rRu2,rS0,scarF,rS11,rT1,rnifM,rRm1,rS1,rP1,scarD,P3,S3,Rw1,nifW,T1,S11,scarA,P1,S1,Rz1,nifZ,T1,S11,vRight,,,
Variant 20,vLeft,rS11,rT1,rnifV,rRv2,rS2,rP2,scarC,rS11,rT1,rnifS,rRs1,rS1,rP1,scarD,rS13,rP1,rT1,rnifU,rRu2,rS0,scarF,P2,S2,Rm2,nifM,T1,P1,S13,scarD,P1,S1,Rw2,nifW,S10,scarA,P3,S3,Rz2,nifZ,T1,S11,vRight,,,
Variant 21,vLeft,P1,S1,Rv2,nifV,S10,scarC,P3,S3,Ru2,nifU,S10,scarD,S0,Rs1,nifS,T1,P1,S13,scarF,P2,S2,Rm2,nifM,T1,P1,S13,scarD,P1,S1,Rw2,nifW,S10,scarA,P3,S3,Rz2,nifZ,T1,S11,vRight,,,,,
Variant 22,vLeft,P1,S1,Rv2,nifV,S10,scarC,P3,S3,Ru2,nifU,S10,scarD,S0,Rs1,nifS,T1,P1,S13,scarF,P2,S2,Rm2,nifM,T1,P1,S13,scarD,S0,Rz2,nifZ,T1,P1,S13,scarA,P1,S1,Rw2,nifW,T1,S11,vRight,,,,
Variant 23,vLeft,P3,S3,Rv1,nifV,T1,S11,scarC,P1,S1,Ru1,nifU,T1,S11,scarD,P2,S2,Rs2,nifS,T1,P1,S13,scarF,P2,S2,Rm2,nifM,T1,P1,S13,scarD,S0,Rz2,nifZ,T1,P1,S13,scarA,P1,S1,Rw2,nifW,T1,S11,vRight,
Variant 24,vLeft,P3,S3,Rv1,nifV,T1,S11,scarC,P1,S1,Ru1,nifU,T1,S11,scarD,P2,S2,Rs2,nifS,T1,P1,S13,scarF,S0,Rw2,nifW,S10,scarD,S0,Rz2,nifZ,S10,scarA,S0,Rm1,nifM,T1,S11,vRight,,,,,,,
Variant 25,vLeft,P2,S2,Ru1,nifU,S10,scarC,S0,Rs1,nifS,S10,scarD,S0,Rv1,nifV,S10,scarF,rS10,rnifW,rRw1,rS2,rP2,scarD,rS13,rP1,rT1,rnifZ,rRz1,rS1,rP1,scarA,rS10,rnifM,rRm2,rS3,rP3,vRight,,,,,,,,,
Variant 26,vLeft,P2,S2,Ru1,nifU,S10,scarC,P3,S3,Rs2,nifS,S10,scarD,P2,S2,Rv2,nifV,T1,P1,S13,scarF,rS10,rnifW,rRw1,rS2,rP2,scarD,rS10,rnifM,rRm1,rS0,scarA,rS10,rnifZ,rRz1,rS2,rP2,vRight,,,,,,,,
Variant 27,vLeft,P1,S1,Ru1,nifU,T1,P1,S13,scarC,P3,S3,Rv1,nifV,S10,scarD,S0,Rs1,nifS,T1,P1,S13,scarF,P3,S3,Rw1,nifW,S10,scarD,P1,S1,Rm1,nifM,T1,P1,S13,scarA,P1,S1,Rz1,nifZ,T1,S11,vRight,,,
Variant 28,vLeft,P1,S1,Ru1,nifU,T1,P1,S13,scarC,S0,Rs1,nifS,S10,scarD,rS11,rT1,rnifV,rRv2,rS1,rP1,scarF,P3,S3,Rw1,nifW,S10,scarD,S0,Rz2,nifZ,S10,scarA,S0,Rm1,nifM,T1,S11,vRight,,,,,,,,
Variant 29,vLeft,rS11,rT1,rnifU,rRu2,rS0,scarC,rS11,rT1,rnifS,rRs1,rS1,rP1,scarD,P2,S2,Rv2,nifV,T1,P1,S13,scarF,P2,S2,Rz1,nifZ,T1,P1,S13,scarD,P3,S3,Rw1,nifW,T1,S11,scarA,rS10,rnifM,rRm2,rS3,rP3,vRight,,,
Variant 30,vLeft,rS11,rT1,rnifU,rRu2,rS0,scarC,rS13,rP1,rT1,rnifV,rRv1,rS0,scarD,rS10,rnifS,rRs1,rS1,rP1,scarF,P2,S2,Rz1,nifZ,T1,P1,S13,scarD,P1,S1,Rm1,nifM,T1,P1,S13,scarA,P1,S1,Rw2,nifW,T1,S11,vRight,,,
Variant 31,vLeft,P3,S3,Rs2,nifS,T1,P1,S13,scarC,P1,S1,Ru1,nifU,T1,S11,scarD,rS11,rT1,rnifV,rRv2,rS1,rP1,scarF,rS10,rnifZ,rRz2,rS3,rP3,scarD,rS10,rnifM,rRm1,rS0,scarA,rS13,rP1,rT1,rnifW,rRw1,rS2,rP2,vRight,,,,
Variant 32,vLeft,rS11,rT1,rnifS,rRs2,rS2,rP2,scarC,P3,S3,Ru2,nifU,S10,scarD,S0,Rv1,nifV,S10,scarF,rS11,rT1,rnifM,rRm1,rS1,rP1,scarD,P3,S3,Rw1,nifW,T1,S11,scarA,P1,S1,Rz1,nifZ,T1,S11,vRight,,,,,,
